index,text
14858,我们这里都有的贪官
3394,有事情需要帮忙
14637,他有多抠
18674,改了才有进步
18105,boh je
18886,向国 敬礼
10149,面膜 微购
11655,WeChat ID
11656,WeChat no
19585,tre   me
4197,Shut  up
11346,13870600709 刘峡
12038,李忠辉 13707916491
15660,说的对
18149,嘻嘻 知道啦
11294,有钱啥都能解决
8365,没人 耐心
2163,在有一次不玩了
14045,我还说有月经
19844,5     没有
17867,努力 幸运
404,有补卡也没用吗
4193,你为什么要被我征服
19268,我就问你能不能发视频
7593,782 2
11641,你们建的有群吗
5968,要不你抱着我飞
19560,要不把我幻想你初恋
3464,162 3
13824,829 3
15482,My period/::(
19790,3   没有
15010,被胖子强奸啊
13135,我知道你想表达的
10556,我就有奴性
4203,你还是要征服我
14791,我有什么好研究的
8073,我是不是要和你学点
8020,难道你每次和我在一起
11241,264 5
11487,172 5
19479,你说要是以后我嫁给别人
18640,我在想你瘦下来的样子
3733,我说你叫小兰
19505,这是偷情的快感吧
18112,旅个铁啊~
8023,其实我和你在一起的时候
19354,我就问你能不能说语音
11114,你看我不就很自信
11206,不然就不叫土匪了
12261,你要不要娶我回家
15082,我知道你不会放弃
19834,说的我都想亲你下面
18883,it be
13981,那也想摸吧
7874,我说的话你都在意
11457,那干脆我都在你上面搞
18209,/:circle[Yeah!]
12542,怎么弄啊
13061,我居然会想你在我怀里撒娇
14730,你一定要到娶到我啊
8062,你说想抱着我操我
11478,懂不懂啊
13273,好巧我也在想你
11576,你说我狠不狠
13191,玩啊宾
17437,这不是我的关键词
5288,你太不了解我了
12211,我很认真的爱过他
8042,那我在你眼里真的发光
10547,我只爱你一个人
14363,我只爱你一个人
8018,在一起的时候
14770,那你不就笑我
11795,你一开始就认定我了对不对
13156,我觉得你在外面战无不胜
13169,我不是说你胖啊
17831,你能不能再给我个拥抱
19079,真是要戒啊
11804,你知道我看你胖
16049,反个屁啊
13110,嘴硬心软啊
19470,但是你也别想控制我的思想
9383,不说了我要工作了
12221,至少你没有把我删除
19255,不和你了。我把你删掉
14589,我没打算谈恋爱的
13857,我还觉得你特别好欺负
14978,你拍照给我看
1293,我在给你背古诗呢
6109,说好的
14003,你干嘛要娶我
6226,要不死了
8627,下面还能用
11727,我眼睛就是想和你在一起
14646,我觉得你就很大气
15112,你非我不娶啊
11816,你要记住我的脸啊
17881,不回头看
10221,我之前告诉你的生日都去哪了
11713,我要你为我服务
11786,我不要你睡别人
15985,你以后叫我小九吧
9586,我不是你要找的人
14040,你有没有看见我表情
17509,能不能搞
13470,我看电视去了你打电话
11779,我要你只插我一个
12830,你用那个号和我说话
11950,你就给我一张不行咯吧
11585,是不是不应该
11157,这样就可以在一起了
13423,没啦 就问问
12975,我觉得你以后会拍电影
9680,不爱就不爱
12333,不爱就不爱
13935,不能说没感觉
2899,妈呀  发春了
9729,送我一个无人机吗
18041,坚持  努力
16392,和就是不一样
11861,我说因为你胖我不爱你
11759,你心里想的多么爱我
12952,后来就不哄了
11707,你那时已经好爱我了
13862,不讲话就笑
14181,你赶紧的给我补签
10521,你看我只有睡一个
19458,毕竟我一开始就是被强迫的
17097,你来找我玩吧
15093,那就做
7969,我是变态吗
10733,我觉得你转圈的时候很舒服
13025,基础就是不要 吧
11547,你是不是觉得我斗不过你
4267,但是我不会和你生活
14731,我要嫁给你吗
11863,我说一句你胖
8155,你是不是觉得我还会被很多人骗
18718,你连看到我微信都激动
15857,你们的
11490,你别不爱听
7740,让我做你的眼睛生那样那太卡了
11910,不爱就不爱了
19299,我不会让你再哭了
11524,你连乐器都会吗
10652,就是我对你有好感
10431,发点的赞呢
19818,我跟你讲哦老公
11751,你知道约我约不出来了
13962,就不疼了
11981,其实你不爱我对不对
4531,看来只能我卸载你小来了
15078,我是棋子吗
11740,我爱你的灵魂
14659,我觉得我妈肯定很喜欢你
19229,为啥我觉得你这么听话
5249,不然老了就不能享受性了
14564,说着你爱我一生一世
12334,咋地也弄不上
9559,你可以教我做英语题目吗
14401,什么一定要和我私守
9782,我是智障吗
19279,有我在
4306,你征服不了我的灵魂
14395,你陪我说话好吗
11530,还是幸福的
9323,老觉得你不爱我
19186,你好像看着我都很舒服
14306,我什么时候说过喜欢你
18624,你以后就是我演讲的典型案例
19697,我没有你爱的深
14462,大家小心啊
19766,才年轻啊
11259,还能读书厉害啊
1098,我打心眼儿里喜欢你
4194,我又不要你的心
19455,你的思想我也控制不了
73,不幸运么
12268,为什么你这么爱我不说
